Name,Category,Symbol
"2GO Group, Inc.",Transportation Services,2GO
"8990 Holdings, Inc.",Property,HOUSE
"A Brown Company, Inc.",Property,BRN
A. Soriano Corporation,Holding Firms,ANS
ABS-CBN Corporation,Media,ABS
ABS-CBN Holdings Corporation,Media,ABSP
"AG Finance, Incorporated",Other Financial Institutions,AGF
"APC Group, Inc.",Other Services,APC
"ATN Holdings, Inc.",Holding Firms,ATN
"AbaCore Capital Holdings, Inc.",Holding Firms,ABA
"Aboitiz Equity Ventures, Inc.",Holding Firms,AEV
Aboitiz Power Corporation,"Electricity, Energy, Power & Water",AP
Abra Mining and Industrial Corporation,Mining,AR
Acesite (Phils.) Hotel Corporation,Hotel & Leisure,ACE
"AgriNurture, Inc.","Food, Beverage & Tobacco",ANI
"Alliance Global Group, Inc.",Holding Firms,AGI
"Alliance Select Foods International, Inc.","Food, Beverage & Tobacco",FOOD
Allied Banking Corporation,Banks,ABC
"Alsons Consolidated Resources, Inc.","Electricity, Energy, Power & Water",ACR
"Anchor Land Holdings, Inc.",Property,ALHI
Anglo Philippine Holdings Corporation,Holding Firms,APO
"Apex Mining Co., Inc.",Mining,APX
"Apollo Global Capital, Inc.",Information Technology,APL
"Araneta Properties, Inc.",Property,ARA
Arthaland Corporation,Property,ALCO
Asia Amalgamated Holdings Corporation,Holding Firms,AAA
Asia United Bank Corporation,Banks,AUB
Asiabest Group International Inc.,"Construction, Infra. & Allied Services",ABG
"Asian Terminals, Inc.",Transportation Services,ATI
Atlas Consolidated Mining and Development Corporation,Mining,AT
"Atok-Big Wedge Co., Inc.",Mining,AB
Ayala Corporation,Holding Firms,AC
"Ayala Land, Inc.",Property,ALI
"BDO Leasing and Finance, Inc.",Other Financial Institutions,BLFI
"BDO Unibank, Inc.",Banks,BDO
"BHI Holdings, Inc.",Holding Firms,BH
Bank of the Philippine Islands,Banks,BPI
Basic Energy Corporation,"Electricity, Energy, Power & Water",BSC
Belle Corporation,Property,BEL
Benguet Corporation,Mining,BC
Berjaya Philippines Inc.,Casinos & Gaming,BCOR
Bloomberry Resorts Corporation,Casinos & Gaming,BLOOM
"Bogo-Medellin Milling Company, Inc.","Food, Beverage & Tobacco",BMM
"Boulevard Holdings, Inc.",Hotel & Leisure,BHI
Bright Kindle Resources & Investments Inc.,Other Financial Institutions,BKR
"COL Financial Group, Inc.",Other Financial Institutions,COL
Calata Corporation,Retail,CAL
"Cebu Air, Inc.",Transportation Services,CEB
"Cebu Holdings, Incorporated",Property,CHI
"Cebu Landmasters, Inc.",Property,CLI
Cebu Property Ventures and Development Corporation,Property,CPV
"Cemex Holdings Philippines, Inc.","Construction, Infrastructure & Allied Services",CHP
"Central Azucarera de Tarlac, Inc.","Food, Beverage & Tobacco",CAT
Centro Escolar University,Education,CEU
"Century Pacific Food, Inc.","Food, Beverage & Tobacco",CNPF
Century Peak Metals Holdings Corporation,Mining,CPM
"Century Properties Group, Inc.",Property,CPG
Chelsea Logistics Holdings Corp.,Transportation Services,CLC
"Chemical Industries of the Philippines, Inc.",Chemicals,CIP
China Banking Corporation,Banks,CHIB
Cirtek Holdings Philippines Corporation,Electrical Components & Equipment,TECH
"City & Land Developers, Incorporated",Property,LAND
Cityland Development Corporation,Property,CDC
"Citystate Savings Bank, Inc.",Banks,CSB
Coal Asia Holdings Incorporated,Mining,COAL
Concepcion Industrial Corporation,Electrical Components & Equipment,CIC
Concrete Aggregates Corporation,"Construction, Infra. & Allied Services",CA
"Cosco Capital, Inc.",Holding Firms,COSCO
Crown Asia Chemicals Corporation,Chemicals,CROWN
"Crown Equities, Inc.",Property,CEI
Cyber Bay Corporation,Property,CYBR
"D&L Industries, Inc.","Food, Beverage & Tobacco",DNL
"DFNN, Inc.",Information Technology,DFNN
"DMCI Holdings, Inc.",Holding Firms,DMC
"Da Vinci Capital Holdings, Inc.","Construction, Infra. & Allied Services",DAVIN
Del Monte Pacific Limited,"Food, Beverage & Tobacco",DMPL
Discovery World Corporation,Hotel & Leisure,DWC
"Dizon Copper-Silver Mines, Inc.",Mining,DIZ
DoubleDragon Properties Corp.,Property,DD
EEI Corporation,"Construction, Infra. & Allied Services",EEI
Eagle Cement Corporation,"Construction, Infrastructure & Allied Services",EAGLE
East West Banking Corporation,Banks,EW
"EasyCall Communications Philippines, Inc.",Other Services,ECP
Emperador Inc.,"Food, Beverage & Tobacco",EMP
"Empire East Land Holdings, Inc.",Property,ELI
Energy Development Corporation,"Electricity, Energy, Power & Water",EDC
"Euro-Med Laboratories Phil., Inc.",Chemicals,EURO
"Ever-Gotesco Resources and Holdings, Inc.",Property,EVER
"Export and Industry Bank, Inc.",Banks,EIBA
F & J Prince Holdings Corporation,Holding Firms,FJP
"Far Eastern University, Incorporated",Education,FEU
Filinvest Development Corporation,Holding Firms,FDC
"Filinvest Land, Inc.",Property,FLI
"Filipino Fund, Inc.",Other Financial Institutions,FFI
Filsyn Corporation,Other Industrials,FYN
First Abacus Financial Holdings Corporation,Other Financial Institutions,FAF
First Gen Corporation,"Electricity, Energy, Power & Water",FGEN
"First Metro Philippine Equity Exchange Traded Fund, Inc.",ETF-Equity,FMETF
First Philippine Holdings Corporation,"Electricity, Energy, Power & Water",FPH
"Forum Pacific, Inc.",Holding Firms,FPI
"GEOGRACE Resources Philippines, Inc.",Mining,GEO
"GMA Holdings, Inc.",Media,GMAP
"GMA Network, Inc.",Media,GMA7
"GT Capital Holdings, Inc.",Holding Firms,GTCAP
"Ginebra San Miguel, Inc.","Food, Beverage & Tobacco",GSMI
"Global Ferronickel Holdings, Inc.",Mining,FNI
"Global-Estate Resorts, Inc.",Property,GERI
"Globalport 900, Inc.",Transportation Services,PORT
"Globe Telecom, Inc.",Telecommunications,GLO
"Golden Haven Memorial Park, Inc.",Other Services,HVN
Grand Plaza Hotel Corporation,Hotel & Leisure,GPH
Greenergy Holdings Incorporated,Electrical Components & Equipment,GREEN
"Harbor Star Shipping Services, Inc.",Transportation Services,TUGS
"Holcim Philippines, Inc.","Construction, Infra. & Allied Services",HLCM
"House of Investments, Inc.",Holding Firms,HI
"I-Remit, Inc.",Other Financial Institutions,I
"IP E-Game Ventures, Inc.",Casinos & Gaming,EG
"IPM Holdings, Inc.",Other Services,IPM
"IRC Properties, Inc.",Property,IRC
ISM Communications Corporation,Information Technology,ISM
"Imperial Resources, Inc.",Information Technology,IMP
"Integrated Micro-Electronics, Inc.",Electrical Components & Equipment,IMI
"International Container Terminal Services, Inc.",Transportation Services,ICT
"Ionics, Inc.",Electrical Components & Equipment,ION
"Island Information & Technology, Inc.",Information Technology,IS
Italpinas Development Corporation,"Small, Medium & Emerging Board",IDC
"JG Summit Holdings, Inc.",Holding Firms,JGS
"Jackstones, Inc.",Information Technology,JAS
Jollibee Foods Corporation,"Food, Beverage & Tobacco",JFC
Jolliville Holdings Corporation,Holding Firms,JOH
"Keppel Philippines Holdings, Inc.",Holding Firms,KPH
"Keppel Philippines Properties, Inc.",Property,KEP
"LBC Express Holdings, Inc.",Transportation Services,LBC
LMG Chemicals Corporation,Chemicals,LMG
"LT Group, Inc.",Holding Firms,LTG
Leisure & Resorts World Corporation,Casinos & Gaming,LR
Lepanto Consolidated Mining Company,Mining,LC
"Liberty Flour Mills, Inc.","Food, Beverage & Tobacco",LFM
Lodestar Investment Holdings Corporation,Holding Firms,LIHC
Lopez Holdings Corporation,Holding Firms,LPZ
Lorenzo Shipping Corporation,Transportation Services,LSC
"MEDCO Holdings, Inc.",Other Financial Institutions,MED
MJC Investments Corporation,Holding Firms,MJIC
"MRC Allied, Inc.",Property,MRC
Mabuhay Holdings Corporation,Holding Firms,MHC
Mabuhay Vinyl Corporation,Chemicals,MVC
"Macay Holdings, Inc.","Food, Beverage & Tobacco",MACAY
MacroAsia Corporation,Transportation Services,MAC
Makati Finance Corporation,"Small, Medium & Emerging Board",MFIN
Manila Broadcasting Company,Media,MBC
Manila Bulletin Publishing Corporation,Media,MB
Manila Electric Company,"Electricity, Energy, Power & Water",MER
"Manila Jockey Club, Inc.",Casinos & Gaming,MJC
Manila Mining Corporation,Mining,MA
"Manila Water Company, Inc.","Electricity, Energy, Power & Water",MWC
Manulife Financial Corporation,Other Financial Institutions,MFC
"Marcventures Holdings, Inc.",Mining,MARC
"Max's Group, Inc.","Food, Beverage & Tobacco",MAXS
Megawide Construction Corporation,"Construction, Infra. & Allied Services",MWIDE
Megaworld Corporation,Property,MEG
Melco Resorts and Entertainment (Philippines) Corporation,Casinos & Gaming,MRP
Metro Alliance Holdings & Equities Corp.,Transportation Services,MAH
Metro Global Holdings Corporation,Holding Firms,MGH
Metro Pacific Investments Corporation,Holding Firms,MPI
"Metro Retail Stores Group, Inc.",Retail,MRSGI
Metropolitan Bank & Trust Company,Banks,MBT
"Millennium Global Holdings, Inc.","Food, Beverage & Tobacco",MG
National Reinsurance Corporation of the Philippines,Other Financial Institutions,NRCP
NextGenesis Corporation,Banks,NXGEN
"NiHAO Mineral Resources International, Inc.",Mining,NI
Nickel Asia Corporation,Mining,NIKL
Now Corporation,Information Technology,NOW
Omico Corporation,Mining,OM
"Oriental Peninsula Resources Group, Inc.",Mining,ORE
